phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment
train,-0.24050116539001465,20.179000854492188,1.4329720735549927,1.581632137298584,2.1384899616241455,35644,
train,0.366127073764801,35.09199905395508,1.226942539215088,0.9237928986549377,3.1775600910186768,42343,
train,0.26539164781570435,44.875,0.9754988551139832,0.7277871966362,3.335010051727295,24509,
train,0.13510733842849731,53.750999450683594,0.7924923896789551,0.5077298283576965,3.3636300563812256,23449,
train,-0.11077664792537689,62.04499816894531,0.6100825071334839,0.4565931558609009,3.480340003967285,17621,
train,-0.17823046445846558,68.93199920654297,0.4772742688655853,0.43048998713493347,3.328779935836792,12210,
train,-0.2625356614589691,74.98699951171875,0.4067019522190094,0.3849910497665405,3.5830700397491455,8884,
train,-0.44604578614234924,78.75399780273438,0.2972544729709625,0.3348497748374939,3.753390073776245,5906,
train,-0.5681253671646118,81.0250015258789,0.23653505742549896,0.30618372559547424,3.8571701049804688,3678,
train,-0.5791070461273193,82.61900329589844,0.24547794461250305,0.2812708616256714,3.844949960708618,4326,
val,-0.1717400848865509,19.254032135009766,1.9508388042449951,1.5750478506088257,1.0,1,70.92204602377325
val,0.15221881866455078,40.92741775512695,0.7764133810997009,0.8425732851028442,2.276209592819214,15,94.01098963766134
val,-0.06270308047533035,54.435482025146484,0.7009000182151794,0.5817546248435974,3.0423386096954346,11,94.69286163747572
val,-0.5040398240089417,52.620967864990234,0.2889285385608673,0.5678926706314087,3.0272176265716553,16,95.30443552545337
val,-0.20484547317028046,69.05242156982422,0.44740545749664307,0.45120394229888916,2.802419424057007,36,91.96189608566581
val,-0.35932958126068115,74.49596405029297,0.684407651424408,0.3592284619808197,3.793346881866455,74,95.98214457756806
val,-0.4490678012371063,83.87096405029297,0.3826250433921814,0.3459542691707611,3.6955645084381104,88,95.23894746187982
val,-0.507671058177948,84.4758071899414,0.36422598361968994,0.32332590222358704,3.7973790168762207,112,95.27556982268872
val,-0.6385990381240845,81.8548355102539,0.36047306656837463,0.26409223675727844,4.22580623626709,117,96.89534998443067
val,-0.6951178908348083,87.3991928100586,0.26909488439559937,0.24989920854568481,3.9415323734283447,102,95.0038648974667
val (no noise),-0.1717400848865509,19.254032135009766,1.9508388042449951,1.5750478506088257,1.0,1,70.92204602377325
val (no noise),0.15221881866455078,40.92741775512695,0.7764133810997009,0.8425732851028442,2.276209592819214,15,94.01098963766134
val (no noise),-0.06270308047533035,54.435482025146484,0.7009000182151794,0.5817546248435974,3.0423386096954346,11,94.69286163747572
val (no noise),-0.5040398240089417,52.620967864990234,0.2889285385608673,0.5678926706314087,3.0272176265716553,16,95.30443552545337
val (no noise),-0.20484547317028046,69.05242156982422,0.44740545749664307,0.45120394229888916,2.802419424057007,36,91.96189608566581
val (no noise),-0.35932958126068115,74.49596405029297,0.684407651424408,0.3592284619808197,3.793346881866455,74,95.98214457756806
val (no noise),-0.4490678012371063,83.87096405029297,0.3826250433921814,0.3459542691707611,3.6955645084381104,88,95.23894746187982
val (no noise),-0.507671058177948,84.4758071899414,0.36422598361968994,0.32332590222358704,3.7973790168762207,112,95.27556982268872
val (no noise),-0.6385990381240845,81.8548355102539,0.36047306656837463,0.26409223675727844,4.22580623626709,117,96.89534998443067
val (no noise),-0.6951178908348083,87.3991928100586,0.26909488439559937,0.24989920854568481,3.9415323734283447,102,95.0038648974667
